SampleID,SamDate,Lat,Lon,YearDug,WellAge,WellType,WellDepth,District,Thana,Arsenic,DEM,RAIN,GWD,SAND,LOAM,HCOND,USC,RCHG,RTRND,IRRIG
S98_04125,25/04/1998 00:00,23.554,91.1,1997,1,STW,44,Comilla,Burichang,2,9,1942.016504,13.61489707,0.639826857,77.26527181,13.30302194,18.86987933,234.9353681,1.790090042,6.932166032
S98_04177,02/05/1998 00:00,23.466,91.181,1996,2,DTW,141,Comilla,Comilla Sadar,2,12.89630065,1942.126639,12.21070729,2.773350809,31.47802222,13.85034978,19.70909509,305.0268576,1.556815006,4.971178885
S98_03189,29/03/1998 00:00,22.305,89.111,1995,3,DugW,7,Satkhira,Shyamnagar,2,2.452063276,1854.375733,3.101214899,0,17,19.85034239,23.2729809,36.88247128,0.553894273,2.465546898
S99_05317,27/06/1999 00:00,25.4285,88.9801,1985,14,HTW,21.9,Dinajpur,Birampur,2,29.06284195,1935.05302,7.047401021,3.004439291,33.33819898,44.62041381,10.87475708,295.1340208,6.11972349,14.44931315
S99_07082,24/05/1999 00:00,25.22,90.0349,1994,5,TARA,36.6,Sherpur,Jhenaigati,2,27.04991981,2573.64121,6.583712051,6.518600085,55.15049946,36.36005642,29.71879352,294.0059649,4.179985478,6.679932901
S98_02775,21/04/1998 00:00,23.991,90.044,1984,14,DTW,92,Manikganj,Saturia,2,10.85419058,1818.094808,8.472271767,6,79,27.82930611,12.96491156,452.7182602,4.549597216,7.458154218
S98_03637,05/05/1998 00:00,22.489,90.022,1975,23,STW,17,Pirojpur,Bhandaria,2,2.297410053,2192.039281,1.71211065,0,17,14.78256754,24.80147724,20.88826661,-0.152801119,0.09876295
S99_04143,27/05/1999 00:00,24.4516,89.8941,1985,14,HTW,38.7,Tangail,Ghatail,2,14.20405952,1860.473504,7.056901179,5.883204552,78.44817448,45.23548727,14.01352144,402.809928,2.874429093,4.998016773
S99_06172,03/06/1999 00:00,23.9277,90.4474,1998,1,TARA,66.4,Gazipur,Gazipur Sadar,2,9.572548885,2071.699523,40.83004675,0.000374475,12.76372845,14.66277387,29.70085026,240.9577376,2.628605039,0.431394806
S98_04154,29/04/1998 00:00,23.68,90.793,1995,3,STW,12,Comilla,Homna,2,6.330198145,1983.754651,4.885431398,14,59,13.89637995,9.996401698,121.3402771,1.507898977,5.322034615
S98_03060,11/06/1998 00:00,23.542,90.533,1996,2,DTW,125,Munshiganj,Munshiganj Sadar,2,5.171717703,1953.952561,6.988750581,3.679187611,82.39201174,17.66010963,11.78259437,165.231827,2.803537652,1.43423881
S98_04411,22/05/1998 00:00,22.375,91.815,1995,3,STW,12,Chittagong,Panchlaish,2,18.93275256,2897.132442,5.758959948,0.212941404,2.018824131,7.075234943,15.47727959,55.39749843,0.188122239,0.014689333
